表訂時間,往來地點中文,航空公司,航班狀態,實際時間
2025/4/29 0:05,仁川,酷航,已到Arrived,2025/4/29 0:14
2025/4/29 0:05,大邱,真航空,已到Arrived,2025/4/29 0:11
2025/4/29 0:10,釜山,真航空,已到Arrived,2025/4/28 23:09
2025/4/29 0:15,大邱,德威航空,已到Arrived,2025/4/29 0:09
2025/4/29 0:20,東京,酷航,已到Arrived,2025/4/28 23:50
2025/4/29 0:20,釜山,易斯達航空,已到Arrived,2025/4/28 23:13
2025/4/29 0:35,香港,國泰航空,已到Arrived,2025/4/29 0:28
2025/4/29 0:55,名古屋,樂桃航空,已到Arrived,2025/4/29 0:54
2025/4/29 1:00,馬尼拉,宿霧太平洋航空,已到Arrived,2025/4/29 1:06
2025/4/29 1:00,東京,樂桃航空,已到Arrived,2025/4/29 1:09
2025/4/29 1:30,馬尼拉,菲律賓亞洲航空,已到Arrived,2025/4/29 2:08
2025/4/29 1:30,大阪/關西,捷星日本航空,已到Arrived,2025/4/29 1:29
2025/4/29 1:40,東京,捷星日本航空,已到Arrived,2025/4/29 1:47
2025/4/29 2:15,仁川,臺灣虎航,已到Arrived,2025/4/29 1:43
2025/4/29 4:05,舊金山,聯合航空,已到Arrived,2025/4/29 4:16
2025/4/29 4:45,胡志明市,越捷航空,已到Arrived,2025/4/29 5:03
2025/4/29 4:55,西雅圖,中華航空,已到Arrived,2025/4/29 4:44
2025/4/29 4:55,洛杉磯,星宇航空,已到Arrived,2025/4/29 5:29
2025/4/29 4:55,西雅圖,星宇航空,已到Arrived,2025/4/29 4:51
2025/4/29 5:00,洛杉磯,中華航空,已到Arrived,2025/4/29 5:27
2025/4/29 5:05,安大略,中華航空,已到Arrived,2025/4/29 5:32
2025/4/29 5:05,芝加哥,長榮航空,已到Arrived,2025/4/29 5:15
2025/4/29 5:10,西雅圖,長榮航空,已到Arrived,2025/4/29 5:32
2025/4/29 5:15,洛杉磯,長榮航空,已到Arrived,2025/4/29 6:07
2025/4/29 5:15,舊金山,長榮航空,已到Arrived,2025/4/29 6:19
2025/4/29 5:15,紐約,長榮航空,已到Arrived,2025/4/29 7:08
2025/4/29 5:15,布里斯本,長榮航空,已到Arrived,2025/4/29 4:24
2025/4/29 5:20,舊金山,長榮航空,已到Arrived,2025/4/29 5:05
2025/4/29 5:25,溫哥華,長榮航空,已到Arrived,2025/4/29 7:35
2025/4/29 5:30,紐約,中華航空,已到Arrived,2025/4/29 7:11
2025/4/29 5:30,溫哥華,中華航空,已到Arrived,2025/4/29 5:40
2025/4/29 5:30,維也納,中華航空,已到Arrived,2025/4/29 4:56
2025/4/29 5:40,雪梨,中華航空,已到Arrived,2025/4/29 5:13
2025/4/29 5:40,多倫多,長榮航空,已到Arrived,2025/4/29 5:41
2025/4/29 5:40,洛杉磯,星宇航空,已到Arrived,2025/4/29 5:58
2025/4/29 5:45,新加坡,酷航,已到Arrived,2025/4/29 5:27
2025/4/29 5:50,舊金山,中華航空,已到Arrived,2025/4/29 5:52
2025/4/29 5:50,羅馬,中華航空,已到Arrived,2025/4/29 5:10
2025/4/29 5:50,洛杉磯,長榮航空,已到Arrived,2025/4/29 6:04
2025/4/29 6:00,阿姆斯特丹,中華航空,已到Arrived,2025/4/29 6:15
2025/4/29 6:10,法蘭克福,中華航空,已到Arrived,2025/4/29 5:29
2025/4/29 6:15,胡志明市,長榮航空,已到Arrived,2025/4/29 5:56
2025/4/29 6:20,慕尼黑,長榮航空,已到Arrived,2025/4/29 5:57
2025/4/29 6:20,曼谷,長榮航空,已到Arrived,2025/4/29 6:10
2025/4/29 6:30,馬尼拉,中華航空,已到Arrived,2025/4/29 6:08
2025/4/29 6:30,休士頓,長榮航空,已到Arrived,2025/4/29 6:39
2025/4/29 6:30,維也納,長榮航空,已到Arrived,2025/4/29 5:58
2025/4/29 6:40,巴黎,長榮航空,已到Arrived,2025/4/29 6:55
2025/4/29 6:50,曼谷,泰越捷,已到Arrived,2025/4/29 6:24
2025/4/29 6:55,新加坡,中華航空,已到Arrived,2025/4/29 6:37
2025/4/29 7:25,曼谷,中華航空,已到Arrived,2025/4/29 7:03
2025/4/29 7:55,曼谷/廊曼,泰國獅子航空,已到Arrived,2025/4/29 7:32
2025/4/29 8:00,羽田,臺灣虎航,已到Arrived,2025/4/29 7:59
2025/4/29 8:05,馬尼拉,長榮航空,已到Arrived,2025/4/29 8:27
2025/4/29 8:35,羽田,樂桃航空,已到Arrived,2025/4/29 8:34
2025/4/29 8:45,馬尼拉,菲律賓航空,已到Arrived,2025/4/29 8:54
2025/4/29 8:45,琉球(沖繩),樂桃航空,已到Arrived,2025/4/29 8:41
2025/4/29 8:55,澳門,澳門航空,已到Arrived,2025/4/29 8:30
2025/4/29 9:15,亞庇,亞洲航空,已到Arrived,2025/4/29 9:02
2025/4/29 9:15,馬尼拉,宿霧太平洋航空,已到Arrived,2025/4/29 9:14
2025/4/29 9:25,仁川,真航空,已到Arrived,2025/4/29 9:22
2025/4/29 9:50,香港,大灣區航空,已到Arrived,2025/4/29 9:23
2025/4/29 9:55,香港,國泰航空,已到Arrived,2025/4/29 9:50
2025/4/29 9:55,大阪/關西,樂桃航空,已到Arrived,2025/4/29 9:53
2025/4/29 10:00,香港,中華航空,已到Arrived,2025/4/29 9:31
2025/4/29 10:00,廣州,海南航空,已到Arrived,2025/4/29 9:47
2025/4/29 10:00,馬尼拉,菲律賓亞洲航空,已到Arrived,2025/4/29 9:41
2025/4/29 10:05,香港,國泰航空,已到Arrived,2025/4/29 10:04
2025/4/29 10:10,廈門,廈門航空,已到Arrived,2025/4/29 9:57
2025/4/29 10:15,上海/浦東,春秋航空,已到Arrived,2025/4/29 10:46
2025/4/29 10:20,寧波,中國東方航空,已到Arrived,2025/4/29 10:06
2025/4/29 10:25,福州,廈門航空,已到Arrived,2025/4/29 10:09
