表訂時間,往來地點,航空公司,航班狀態,實際時間
2025/4/29 0:05,舊金山,星宇航空,出發Departed,2025/4/29 0:27
2025/4/29 0:10,羽田,臺灣虎航,出發Departed,2025/4/29 0:11
2025/4/29 0:10,洛杉磯,星宇航空,出發Departed,2025/4/29 0:24
2025/4/29 0:15,吉隆坡,全亞洲航空,出發Departed,2025/4/29 0:42
2025/4/29 1:05,新加坡,酷航,出發Departed,2025/4/29 1:18
2025/4/29 1:50,大邱,真航空,出發Departed,2025/4/29 2:01
2025/4/29 1:55,新加坡,酷航,出發Departed,2025/4/29 1:47
2025/4/29 1:55,名古屋,樂桃航空,出發Departed,2025/4/29 1:47
2025/4/29 2:00,大邱,德威航空,出發Departed,2025/4/29 1:49
2025/4/29 2:10,東京,樂桃航空,出發Departed,2025/4/29 2:01
2025/4/29 2:15,馬尼拉,宿霧太平洋航空,出發Departed,2025/4/29 1:59
2025/4/29 2:15,馬尼拉,菲律賓亞洲航空,出發Departed,2025/4/29 2:49
2025/4/29 2:30,大阪/關西,捷星日本航空,出發Departed,2025/4/29 2:37
2025/4/29 2:40,釜⼭,真航空,出發Departed,2025/4/29 2:55
2025/4/29 2:40,東京,捷星日本航空,出發Departed,2025/4/29 2:57
2025/4/29 2:50,釜⼭,濟州航空,出發Departed,2025/4/29 2:47
2025/4/29 2:50,濟州,易斯達航空,出發Departed,2025/4/29 3:12
2025/4/29 3:05,釜⼭,易斯達航空,出發Departed,2025/4/29 3:02
2025/4/29 6:00,釜⼭,中華航空,出發Departed,2025/4/29 5:52
2025/4/29 6:10,胡志明市,越捷航空,出發Departed,2025/4/29 6:02
2025/4/29 6:20,札幌,臺灣虎航,出發Departed,2025/4/29 6:17
2025/4/29 6:20,神戶,星宇航空,出發Departed,2025/4/29 6:20
2025/4/29 6:30,大阪/關西,長榮航空,出發Departed,2025/4/29 6:24
2025/4/29 6:35,小松,長榮航空,出發Departed,2025/4/29 6:39
2025/4/29 6:35,東京,臺灣虎航,出發Departed,2025/4/29 6:38
2025/4/29 6:35,濟州,臺灣虎航,出發Departed,2025/4/29 6:50
2025/4/29 6:40,大阪/關西,臺灣虎航,出發Departed,2025/4/29 6:47
2025/4/29 6:40,佐賀,臺灣虎航,出發Departed,2025/4/29 7:06
2025/4/29 6:45,琉球(沖繩),長榮航空,出發Departed,2025/4/29 6:42
2025/4/29 6:45,東京,酷航,出發Departed,2025/4/29 6:41
2025/4/29 6:45,福岡,臺灣虎航,出發Departed,2025/4/29 6:55
2025/4/29 6:50,福岡,中華航空,出發Departed,2025/4/29 6:51
2025/4/29 6:50,琉球(沖繩),臺灣虎航,出發Departed,2025/4/29 7:05
2025/4/29 6:55,札幌,長榮航空,出發Departed,2025/4/29 6:47
2025/4/29 6:55,雅加達,星宇航空,出發Departed,2025/4/29 6:51
2025/4/29 6:55,克拉克,星宇航空,出發Departed,2025/4/29 6:56
2025/4/29 7:00,曼谷,中華航空,出發Departed,2025/4/29 7:11
2025/4/29 7:00,仰光,中華航空,出發Departed,2025/4/29 7:19
2025/4/29 7:00,香港,長榮航空,出發Departed,2025/4/29 7:09
2025/4/29 7:15,廣島,中華航空,出發Departed,2025/4/29 7:19
2025/4/29 7:15,胡志明市,中華航空,出發Departed,2025/4/29 7:58
2025/4/29 7:20,馬尼拉,中華航空,出發Departed,2025/4/29 7:43
2025/4/29 7:25,香港,中華航空,出發Departed,2025/4/29 8:11
2025/4/29 7:25,阿姆斯特丹(曼谷),長榮航空,出發Departed,2025/4/29 7:54
2025/4/29 7:25,清邁,長榮航空,出發Departed,2025/4/29 7:24
2025/4/29 7:25,胡志明市,長榮航空,出發Departed,2025/4/29 7:48
2025/4/29 7:25,胡志明市,星宇航空,出發Departed,2025/4/29 8:24
2025/4/29 7:30,名古屋,中華航空,出發Departed,2025/4/29 7:46
2025/4/29 7:30,清邁,中華航空,出發Departed,2025/4/29 7:30
2025/4/29 7:30,仁川,長榮航空,出發Departed,2025/4/29 7:32
2025/4/29 7:30,河內,越南航空,出發Departed,2025/4/29 7:48
2025/4/29 7:40,仁川,中華航空,出發Departed,2025/4/29 7:40
2025/4/29 7:40,新加坡,長榮航空,出發Departed,2025/4/29 7:37
2025/4/29 7:45,胡志明市,越南航空,出發Departed,2025/4/29 8:00
2025/4/29 7:45,旭川,臺灣虎航,出發Departed,2025/4/29 8:03
2025/4/29 7:45,熊本,星宇航空,出發Departed,2025/4/29 7:26
2025/4/29 7:50,大阪/關西,泰國越捷航空,出發Departed,2025/4/29 7:57
2025/4/29 7:55,釜⼭,中華航空,出發Departed,2025/4/29 7:54
2025/4/29 7:55,新加坡,中華航空,出發Departed,2025/4/29 8:18
2025/4/29 7:55,曼谷,泰國國際航空,出發Departed,2025/4/29 7:54
2025/4/29 7:55,東京,長榮航空,出發Departed,2025/4/29 8:05
2025/4/29 8:00,琉球(沖繩),中華航空,出發Departed,2025/4/29 8:09
2025/4/29 8:00,香港,國泰航空,出發Departed,2025/4/29 7:48
